iter	Passed	Remaining
0	1	117
1	1	96
2	2	88
3	3	81
4	4	80
5	5	78
6	5	77
7	6	76
8	7	75
9	8	73
10	8	72
11	9	71
12	10	70
13	11	69
14	12	68
15	13	68
16	13	68
17	14	67
18	15	67
19	16	67
20	17	65
21	18	64
22	19	63
23	19	62
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	53
34	28	52
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	41	38
52	42	37
53	42	36
54	43	35
55	44	34
56	44	33
57	45	33
58	46	32
59	47	31
60	47	30
61	48	29
62	49	28
63	50	28
64	50	27
65	51	26
66	52	25
67	53	24
68	53	24
69	54	23
70	55	22
71	56	21
72	57	21
73	57	20
74	58	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	66	11
85	67	10
86	67	10
87	68	9
88	69	8
89	70	7
90	71	7
91	71	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	77	0
99	78	0
